DATE,CPIAUCSL
2000-01-01,170.100
2000-04-01,171.433
2000-07-01,173.000
2000-10-01,174.233
2001-01-01,175.900
2001-04-01,177.133
2001-07-01,177.633
2001-10-01,177.500
2002-01-01,178.067
2002-04-01,179.467
2002-07-01,180.433
2002-10-01,181.500
2003-01-01,183.367
2003-04-01,183.067
2003-07-01,184.433
2003-10-01,185.133
2004-01-01,186.700
2004-04-01,188.167
2004-07-01,189.367
2004-10-01,191.400
2005-01-01,192.367
2005-04-01,193.667
2005-07-01,196.600
2005-10-01,198.433
2006-01-01,199.467
2006-04-01,201.267
2006-07-01,203.167
2006-10-01,202.333
2007-01-01,204.317
2007-04-01,206.631
2007-07-01,207.939
2007-10-01,210.490
2008-01-01,212.770
2008-04-01,215.538
2008-07-01,218.861
2008-10-01,213.849
2009-01-01,212.378
2009-04-01,213.507
2009-07-01,215.344
2009-10-01,217.030
2010-01-01,217.374
2010-04-01,217.297
2010-07-01,217.934
2010-10-01,219.699
2011-01-01,222.044
2011-04-01,224.568
2011-07-01,226.033
2011-10-01,227.047
2012-01-01,228.326
2012-04-01,228.808
2012-07-01,229.841
2012-10-01,231.369
2013-01-01,232.299
2013-04-01,232.028
2013-07-01,233.281
2013-10-01,234.187
2014-01-01,235.678
2014-04-01,236.777
2014-07-01,237.389
2014-10-01,236.971
2015-01-01,235.464
2015-04-01,236.837
2015-07-01,237.718
2015-10-01,237.930
2016-01-01,237.997
2016-04-01,239.371
2016-07-01,240.431
2016-10-01,242.238
2017-01-01,244.122
2017-04-01,243.931
2017-07-01,245.150
