DATE,GDPC1
2000-01-01,12359.095
2000-04-01,12592.53
2000-07-01,12607.676
2000-10-01,12679.338
2001-01-01,12643.283
2001-04-01,12710.303
2001-07-01,12670.106
2001-10-01,12705.269
2002-01-01,12822.258
2002-04-01,12893.002
2002-07-01,12955.769
2002-10-01,12964.016
2003-01-01,13031.169
2003-04-01,13152.089
2003-07-01,13372.357
2003-10-01,13528.71
2004-01-01,13606.509
2004-04-01,13706.247
2004-07-01,13830.828
2004-10-01,13950.376
2005-01-01,14099.081
2005-04-01,14172.695
2005-07-01,14291.757
2005-10-01,14373.438
2006-01-01,14546.119
2006-04-01,14589.585
2006-07-01,14602.633
2006-10-01,14716.93
2007-01-01,14726.022
2007-04-01,14838.664
2007-07-01,14938.467
2007-10-01,14991.784
2008-01-01,14889.45
2008-04-01,14963.357
2008-07-01,14891.643
2008-10-01,14576.985
2009-01-01,14375.018
2009-04-01,14355.558
2009-07-01,14402.477
2009-10-01,14541.901
2010-01-01,14604.845
2010-04-01,14745.933
2010-07-01,14845.458
2010-10-01,14939.001
2011-01-01,14881.301
2011-04-01,14989.555
2011-07-01,15021.149
2011-10-01,15190.255
2012-01-01,15291.035
2012-04-01,15362.415
2012-07-01,15380.802
2012-10-01,15384.254
2013-01-01,15491.878
2013-04-01,15521.559
2013-07-01,15641.336
2013-10-01,15793.928
2014-01-01,15757.57
2014-04-01,15935.825
2014-07-01,16139.513
2014-10-01,16220.222
2015-01-01,16349.97
2015-04-01,16460.889
2015-07-01,16527.587
2015-10-01,16547.619
2016-01-01,16571.573
2016-04-01,16663.516
2016-07-01,16778.148
2016-10-01,16851.42
2017-01-01,16903.24
2017-04-01,17031.085
2017-07-01,17156.946
