DATE,UNRATE
2000-01-01,4.0
2000-04-01,3.9
2000-07-01,4.0
2000-10-01,3.9
2001-01-01,4.2
2001-04-01,4.4
2001-07-01,4.8
2001-10-01,5.5
2002-01-01,5.7
2002-04-01,5.8
2002-07-01,5.7
2002-10-01,5.9
2003-01-01,5.9
2003-04-01,6.1
2003-07-01,6.1
2003-10-01,5.8
2004-01-01,5.7
2004-04-01,5.6
2004-07-01,5.4
2004-10-01,5.4
2005-01-01,5.3
2005-04-01,5.1
2005-07-01,5.0
2005-10-01,5.0
2006-01-01,4.7
2006-04-01,4.6
2006-07-01,4.6
2006-10-01,4.4
2007-01-01,4.5
2007-04-01,4.5
2007-07-01,4.7
2007-10-01,4.8
2008-01-01,5.0
2008-04-01,5.3
2008-07-01,6.0
2008-10-01,6.9
2009-01-01,8.3
2009-04-01,9.3
2009-07-01,9.6
2009-10-01,9.9
2010-01-01,9.8
2010-04-01,9.6
2010-07-01,9.5
2010-10-01,9.5
2011-01-01,9.0
2011-04-01,9.1
2011-07-01,9.0
2011-10-01,8.6
2012-01-01,8.3
2012-04-01,8.2
2012-07-01,8.0
2012-10-01,7.8
2013-01-01,7.7
2013-04-01,7.5
2013-07-01,7.3
2013-10-01,6.9
2014-01-01,6.7
2014-04-01,6.2
2014-07-01,6.1
2014-10-01,5.7
2015-01-01,5.5
2015-04-01,5.4
2015-07-01,5.1
2015-10-01,5.0
2016-01-01,4.9
2016-04-01,4.9
2016-07-01,4.9
2016-10-01,4.7
2017-01-01,4.7
2017-04-01,4.4
2017-07-01,4.3
