DATE,GDP_Y,Inflation,Unemployment,Nominal_Interest_Rate
1/1/00,12359.095,170.1,4,5.68
4/1/00,12592.53,171.433,3.9,6.27
7/1/00,12607.676,173,4,6.52
10/1/00,12679.338,174.233,3.9,6.47
1/1/01,12643.283,175.9,4.2,5.59
4/1/01,12710.303,177.133,4.4,4.33
7/1/01,12670.106,177.633,4.8,3.5
10/1/01,12705.269,177.5,5.5,2.13
1/1/02,12822.258,178.067,5.7,1.73
4/1/02,12893.002,179.467,5.8,1.75
7/1/02,12955.769,180.433,5.7,1.74
10/1/02,12964.016,181.5,5.9,1.44
1/1/03,13031.169,183.367,5.9,1.25
4/1/03,13152.089,183.067,6.1,1.25
7/1/03,13372.357,184.433,6.1,1.02
10/1/03,13528.71,185.133,5.8,1
1/1/04,13606.509,186.7,5.7,1
4/1/04,13706.247,188.167,5.6,1.01
7/1/04,13830.828,189.367,5.4,1.43
10/1/04,13950.376,191.4,5.4,1.95
1/1/05,14099.081,192.367,5.3,2.47
4/1/05,14172.695,193.667,5.1,2.94
7/1/05,14291.757,196.6,5,3.46
10/1/05,14373.438,198.433,5,3.98
1/1/06,14546.119,199.467,4.7,4.46
4/1/06,14589.585,201.267,4.6,4.91
7/1/06,14602.633,203.167,4.6,5.25
10/1/06,14716.93,202.333,4.4,5.25
1/1/07,14726.022,204.317,4.5,5.26
4/1/07,14838.664,206.631,4.5,5.25
7/1/07,14938.467,207.939,4.7,5.07
10/1/07,14991.784,210.49,4.8,4.5
1/1/08,14889.45,212.77,5,3.18
4/1/08,14963.357,215.538,5.3,2.09
7/1/08,14891.643,218.861,6,1.94
10/1/08,14576.985,213.849,6.9,0.51
1/1/09,14375.018,212.378,8.3,0.18
4/1/09,14355.558,213.507,9.3,0.18
7/1/09,14402.477,215.344,9.6,0.16
10/1/09,14541.901,217.03,9.9,0.12
1/1/10,14604.845,217.374,9.8,0.13
4/1/10,14745.933,217.297,9.6,0.19
7/1/10,14845.458,217.934,9.5,0.19
10/1/10,14939.001,219.699,9.5,0.19
1/1/11,14881.301,222.044,9,0.16
4/1/11,14989.555,224.568,9.1,0.09
7/1/11,15021.149,226.033,9,0.08
10/1/11,15190.255,227.047,8.6,0.07
1/1/12,15291.035,228.326,8.3,0.1
4/1/12,15362.415,228.808,8.2,0.15
7/1/12,15380.802,229.841,8,0.14
10/1/12,15384.254,231.369,7.8,0.16
1/1/13,15491.878,232.299,7.7,0.14
4/1/13,15521.559,232.028,7.5,0.12
7/1/13,15641.336,233.281,7.3,0.08
10/1/13,15793.928,234.187,6.9,0.09
1/1/14,15757.57,235.678,6.7,0.07
4/1/14,15935.825,236.777,6.2,0.09
7/1/14,16139.513,237.389,6.1,0.09
10/1/14,16220.222,236.971,5.7,0.1
1/1/15,16349.97,235.464,5.5,0.11
4/1/15,16460.889,236.837,5.4,0.12
7/1/15,16527.587,237.718,5.1,0.14
10/1/15,16547.619,237.93,5,0.16
1/1/16,16571.573,237.997,4.9,0.36
4/1/16,16663.516,239.371,4.9,0.37
7/1/16,16778.148,240.431,4.9,0.4
10/1/16,16851.42,242.238,4.7,0.45
1/1/17,16903.24,244.122,4.7,0.7
4/1/17,17031.085,243.931,4.4,0.95
7/1/17,17156.946,245.15,4.3,1.15
